268,2,180,156,317,472,1.21,41
229,0,35,392,62,556,1.26,16
253,1,347,166,238,851,1.01,32
289,4,391,350,147,874,0.82,34
222,4,471,387,100,223,1.12,18
220,2,336,215,145,909,0.77,29
322,4,70,371,164,712,1.34,19
221,1,236,344,58,859,0.75,4
228,2,227,105,204,664,1.08,39
288,3,390,259,224,549,1.18,36
241,1,206,218,210,410,1.02,22
300,1,182,353,166,873,1.31,34
175,4,83,97,217,181,1.12,31
299,4,492,379,210,583,1.38,18
211,2,131,239,189,278,0.97,16
300,1,364,348,303,343,1.06,20
189,2,272,109,199,381,1.18,35
189,0,489,186,162,440,0.73,30
334,0,97,381,340,811,0.9,32
240,2,137,300,192,791,0.79,21
145,0,342,65,118,793,0.9,15
210,1,433,195,139,844,0.83,2
270,1,44,203,254,822,1.05,22
291,3,77,274,259,510,0.94,23
268,2,295,274,205,865,0.76,39
270,3,287,177,328,131,1.46,43
208,4,130,327,51,501,1.3,19
227,2,48,229,89,647,1.0,35
285,2,179,271,310,270,1.4,29
124,2,93,150,49,172,1.19,11
253,4,109,247,206,437,0.87,33
268,2,381,315,198,678,0.8,38
258,4,20,348,116,367,0.92,11
254,1,172,151,252,787,1.43,7
179,2,170,280,74,351,0.71,28
186,1,103,95,124,569,1.21,34
174,4,372,55,106,934,0.94,31
126,1,412,54,157,311,0.93,20
265,3,101,135,247,767,1.4,26
337,4,407,334,302,904,1.36,11
306,2,445,199,337,501,1.36,26
171,2,332,198,132,367,1.27,2
166,4,138,68,121,920,0.92,14
146,2,270,176,57,599,0.72,10
192,1,142,150,125,765,0.96,25
174,3,41,134,113,391,0.98,14
180,0,245,78,117,928,1.18,40
265,1,99,192,292,641,1.39,8
158,3,116,78,145,551,0.7,25
256,0,455,365,80,742,1.25,30
179,0,479,150,125,792,0.76,33
259,2,230,266,273,569,0.7,2
246,0,381,338,138,635,1.05,41
229,3,84,126,228,533,1.29,33
110,1,32,123,42,162,1.2,3
273,4,445,271,238,338,1.46,41
315,2,241,398,325,486,0.89,9
180,2,155,259,60,194,1.2,30
163,2,416,75,189,599,1.23,24
166,4,462,77,154,957,0.74,2
265,2,453,223,306,716,0.79,15
230,4,73,102,272,184,1.13,26
216,3,382,348,137,232,1.03,6
269,2,46,282,268,416,1.06,35
227,4,84,111,311,331,1.05,13
264,2,34,348,108,929,0.81,28
189,1,249,291,43,451,1.08,25
237,0,490,96,297,946,0.83,31
246,1,450,281,209,358,1.42,18
233,4,156,196,283,203,0.77,3
138,4,151,156,73,269,1.33,6
144,1,367,232,47,286,1.36,20
192,0,276,217,200,410,0.76,6
206,0,136,217,144,476,0.88,16
204,4,92,178,92,988,1.16,16
246,0,269,263,291,204,1.21,32
163,1,362,137,109,598,1.36,15
266,0,172,238,233,780,1.31,10
192,2,494,63,294,356,1.37,40
304,0,478,339,275,780,0.78,30
193,0,57,148,253,376,1.06,8
165,2,109,239,60,211,1.1,7
247,3,39,357,51,316,1.16,43
170,4,132,176,165,161,1.37,30
230,3,395,316,125,739,0.9,2
258,2,201,285,117,990,0.71,32
233,3,195,107,203,972,1.07,4
225,1,69,93,193,908,1.4,37
259,2,492,375,157,651,0.81,40
123,0,459,41,156,397,1.25,28
190,4,95,247,47,432,1.24,32
318,4,488,352,253,553,1.31,39
182,3,144,66,238,580,1.18,5
169,0,428,201,151,501,0.91,21
206,1,188,385,54,547,0.95,2
173,0,393,39,202,899,1.16,40
241,4,98,114,303,634,1.15,8
317,0,148,309,281,793,0.99,40
197,3,261,86,171,685,1.45,29
248,3,301,211,302,267,1.44,13
320,0,135,389,219,666,1.44,42
267,4,394,164,333,393,1.49,9
242,1,159,96,286,852,0.78,21
223,3,302,68,226,787,0.83,9
226,1,167,173,345,195,0.96,20
175,1,174,222,94,431,1.36,5
201,2,276,234,62,925,1.25,16
197,4,283,130,240,174,0.97,41
202,2,90,328,96,441,0.76,30
208,1,309,264,87,733,0.85,11
157,1,357,143,117,655,1.07,23
230,2,63,368,157,127,1.33,20
289,4,123,200,277,974,0.79,11
240,2,458,142,274,593,0.75,18
299,2,374,317,227,595,1.47,33
236,0,138,203,147,734,1.43,43
247,2,93,137,268,412,1.01,41
